prob_id,us-east4_avg,us-east1_avg,us-central1_avg,us-west1_avg,northamerica-northeast1_avg
16605,141.891484,153.599939,165.630869,209.448428,146.21062
16607,104.192209,114.414978,127.685937,161.581151,110.737937
16601,114.363727,124.711711,149.73252,178.586587,129.247938
16603,123.042895,134.597156,143.561401,185.477432,127.007922
6125,60.7134138,63.7139364,36.3713414,25.500697,67.1161478
6124,94.8024868,106.3895594,118.4389344,152.1680568,101.425543
6127,10.5876202,22.1163932,30.447406,66.3806038,17.517774
6126,83.5441156,93.9136088,107.1835184,141.4311786,93.3973844
12771,85.411382,95.856511,109.242782,141.730487,95.572996
6123,93.0297,104.48828,116.6457634,150.0625244,99.4464112
6122,61.207781,70.9771284,44.6712724,22.7847454,67.3412024
32332,155.044971,170.543246,133.614363,132.244625,161.746353
32330,88.123816,99.577335,112.205021,143.189643,97.618354
3103,37.1916362,48.49537,36.4122702,71.844571,39.1632464
6129,83.6901078,94.214901,107.9899882,141.60488,95.3463838
6128,217.7396472,226.1089304,236.5974666,270.2434906,217.577956
32335,147.064075,162.412501,135.367237,120.633854,155.428226
30727,135.64646,144.01788,177.861469,194.038791,140.136953
22585,99.18167,111.286386,120.794032,155.232717,104.203295
14343,89.583292,107.982517,120.443798,151.898786,107.106306
10113,122.33129,134.455519,145.401744,187.828653,131.722322
15974,198.579804,205.128773,174.438812,162.816284,205.333061
10953,89.32306,99.127184,112.712805,145.393892,99.277734
10951,114.169914,127.120366,135.080384,172.243624,127.797758
10954,106.757482,118.262521,130.793814,178.557299,116.089948
10955,101.956374,113.102734,124.89629,158.640742,109.63943
21170,146.095621,125.678963,161.915759,189.026229,159.800939
16466,244.807331,254.077713,268.446475,300.58724,254.257372
21173,204.877797,237.99296,262.81291625,243.085924,222.34553
12426,81.069871,94.404437,65.133933,87.135852,89.545456
24988,78.312499,89.653681,102.020496,135.364404,84.861192
24989,151.975269,161.209828,123.568056,175.824552,158.522052
31141,115.950274,256.5736,132.723325,162.952215,129.6613
24982,86.61009,98.201125,110.60258,144.145223,97.21585
4633,108.747286,118.9470966,135.713,165.1430734,113.8213094
21770,192.286081,205.393241,218.596037,250.423014,205.082445
13521,82.343637,93.986323,105.538544,140.44014,93.443263
30729,113.258389,124.675769,135.016351,200.764227,120.195931
2257,118.1695728,131.4954504,142.6813724,176.2632552,126.3698178
13526,77.510135,88.473914,101.897323,135.205741,88.626401
2253,79.3285796,91.14933,103.2800466,137.86294,89.9607732
2252,95.2555202,106.07741,117.32124,162.1166916,100.7560906
2250,179.1280492,187.2772988,192.0839038,226.1958602,181.7615208
21350,77.058462,89.723328,99.853108,133.095555,88.149929
21351,90.928295,101.093818,113.655423,149.19205,101.194862
24180,100.641637,111.961524,123.39679,158.321611,111.432334
31457,139.02481,150.298335,160.850077,200.161223,147.358185
21358,88.13005,100.793685,112.47581,145.473462,98.717773
21359,111.755947,125.735869,140.236766,174.669407,125.100595
24188,115.819363,132.087206,144.378613,179.345767,127.438024
31455,35.43232,48.516244,37.785356,72.596476,23.871621
22919,97.920086,109.750979,120.671684,154.73106,104.002758
22918,94.290229,105.908743,117.416745,151.274829,100.989656
22916,106.17603,117.364687,129.470266,163.025678,112.442792
32073,81.493042,93.002106,105.768433,138.609355,92.258511
22911,83.038792,94.581567,106.890974,141.031075,94.575303
22910,92.964303,104.252875,116.045185,149.206812,98.865722
4800,212.8598444,227.9605708,189.999244,155.7616446,218.0108214
16720,99.342514,114.556314,123.327965,156.877644,105.346107
2781,143.468573,155.018988,167.4578258,206.9548446,151.2126258
2780,97.3013186,108.4426972,121.871333,155.4510654,107.5590362
2783,81.078698,93.555321,104.1431252,137.7306904,86.95052
4809,142.613328,154.575852,166.697506,199.8109072,148.9926444
257,96.7939784,106.6836698,119.6478194,153.1601206,104.692245
11605,101.680783,112.875725,125.889699,159.136944,109.200042
18943,111.466293,122.573815,135.35664,168.806609,119.553758
11606,162.516898,169.979254,191.706222,217.036818,177.773377
11601,104.740826,115.430755,132.744799,183.069089,127.769251
11600,102.423503,113.735253,125.687924,159.063049,109.444072
11602,102.188094,113.373708,125.365947,158.99093,111.426235
2071,174.1612382,395.3184022,681.28621625,469.47599825,601.2179765
2070,147.7844266,159.4059586,179.9969638,204.5628314,156.1851198
11608,82.827173,93.287024,105.398702,139.948882,93.388087
2075,112.8098528,168.4975444,136.7679256,169.4232916,119.4810096
2074,91.9829174,102.83307,112.8720606,146.7473194,96.1348808
33469,243.860977,250.746918,213.933915,195.951686,242.505332
11958,101.85267,113.201794,125.030286,158.60678,107.888713
18469,109.922448,122.936104,132.486703,166.465625,116.241
11955,100.193942,115.186819,124.642152,176.061257,111.906207
33464,126.70414,142.669354,157.681932,188.508469,127.036716
18465,106.670485,117.850097,131.02839,167.80388,109.560544
18462,110.518623,118.658451,132.989722,167.296993,123.687649
14122,94.79652,116.471699,115.692922,148.29453,98.484035
18460,95.14434,107.443006,120.564111,153.225438,105.929846
17736,8.420084,19.48815,26.815957,61.297878,10.170782
27981,138.040661,154.216939,166.640891,195.628756,145.749597
17739,45.041811,51.599224,45.388651,57.753372,56.908656
33208,90.711019,97.725723,109.248044,141.214016,96.997641
18609,103.947837,115.307058,127.451643,194.539993,116.829371
18602,99.649256,112.974895,130.543612,162.675383,113.749571
31046,103.269057,116.066827,128.421445,157.745956,109.632018
18600,103.206798,112.400672,127.345058,160.806734,114.209841
18601,78.803803,90.3072,102.249342,135.887973,85.711631
33205,94.011303,108.166956,118.601241,151.603778,106.4115
33204,133.995061,148.168308,165.79779,342.932957,149.898009
18604,100.060416,111.346962,123.62182,157.746876,108.414814
14384,269.151741,288.321182,302.263517,335.806305,288.052854
